row_id,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15
0,0.020068225247882765,0.0013740441676972637,295.9191934797499,298.7314372592502,299.30367694430885
1,0.020068225247882765,0.0013740441676972637,295.9191934797499,298.7314372592502,299.30367694430885
2,0.00828280745270149,0.00021734153002483936,301.1274454328749,304.1918593512641,304.81169018215604
3,0.0027581274342765028,0.003246732699572874,297.28626162211106,300.7707438998752,301.74967303805875
4,0.023474496586345595,0.01562450145453198,296.5376233842638,299.2783882141113,300.68584382798934
5,0.01121411917927162,0.0048038593408463726,302.1336303287082,306.416246287028,307.8754922654894
6,0.02012537120106117,0.012415148961245848,297.0539482540554,299.85700692070844,301.3834512498644
7,0.01831003723862068,0.0004294446584580669,305.7932223425971,310.4270210266113,311.85593931410057
8,0.01121411917927162,0.0048038593408463726,302.1336303287082,306.416246287028,307.8754922654894
9,0.014771711809657972,0.009125941145121885,299.0534111446804,302.37941360473627,303.3710543314616
10,0.01831003723862068,0.0004294446584580669,305.7932223425971,310.4270210266113,311.85593931410057
11,0.023474496586345595,0.01562450145453198,296.5376233842638,299.2783882141113,300.68584382798934
12,0.01141306458237068,0.008024134385287596,301.89172494676376,305.41908916897245,306.72058775160053
13,0.013007757051013868,0.0005061856386063823,298.60073102315266,301.66936043633353,301.6432982550727
14,0.00874924360039131,0.00030101155012829395,298.0102416568332,302.8350885179308,303.06428349812825
15,0.022585687024616163,0.01479413424700482,297.55279808044435,300.11341425577797,301.5473943922255
16,0.029992204887889784,0.001530998098552061,305.4474052853054,307.714146677653,309.3339178297255
17,0.0405282348227729,0.021424435722529722,291.0991576724582,292.24661195543075,293.93866500854494
18,0.09563864467861549,0.03233691369265301,290.93892004224995,293.5271186828613,294.26897642347546
19,0.09563864467861549,0.03233691369265301,290.93892004224995,293.5271186828613,294.26897642347546
20,0.028374043090366285,0.012375303256213499,293.2820190005832,294.7341553582085,295.80079065958665
21,0.04297440944435493,0.013658814775645567,293.01503766377766,294.500963083903,296.27949617173937
22,0.06796316502811806,0.0513753077861665,291.112531153361,291.7186822679307,292.8000473870171
23,0.06796316502811806,0.0513753077861665,291.112531153361,291.7186822679307,292.8000473870171
24,0.04801235793354408,0.0002922496673463115,303.47995736863874,301.52015253702797,302.0893160502116
25,0.04801235793354408,0.0002922496673463115,303.47995736863874,301.52015253702797,302.0893160502116
26,0.045801085217021864,0.0002448788759110698,301.8303968217638,300.6478543599446,300.93631583319774
27,0.045801085217021864,0.0002448788759110698,301.8303968217638,300.6478543599446,300.93631583319774
28,0.04211067853691475,0.0008742741224168071,299.1317043304443,301.245884958903,301.0679727342394
