row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source
0,37.2333333330001,0.8,1,1,2020-02-18,2020-02-18,fao_swarm
1,36.7,2.75,1,1,2020-02-18,2020-02-21,fao_swarm
2,36.95,0.0,1,1,2020-02-18,2020-02-21,fao_swarm
3,36.25,0.28333333300003,1,1,2020-02-18,2020-02-21,fao_swarm
4,36.266666667,0.31666666700005,1,1,2020-02-18,2020-02-21,fao_swarm
5,36.8,0.6,1,1,2020-02-18,2020-02-21,fao_swarm
6,37.05,0.433333333000064,1,1,2020-02-18,2020-02-22,fao_swarm
7,36.9833333330001,0.03333333300003,1,1,2020-02-18,2020-02-22,fao_swarm
8,37.05,0.0,1,1,2020-02-18,2020-02-22,fao_swarm
9,37.021944444,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm
10,37.026111111,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm
11,37.065555556,5.42055555600007,1,1,2020-02-18,2020-02-18,fao_swarm
12,37.1244444440001,5.38888888900004,1,1,2020-02-18,2020-02-18,fao_swarm
13,37.341944444,4.99194444400007,1,1,2020-02-18,2020-02-19,fao_swarm
14,37.896666667,4.46472222200003,1,1,2020-02-18,2020-02-20,fao_swarm
15,37.4261111110001,5.03083333300003,1,1,2020-02-18,2020-02-21,fao_swarm
16,36.9955555560001,5.36194444400007,1,1,2020-02-18,2020-02-21,fao_swarm
17,37.333333333,0.866666667000061,1,1,2020-02-18,2020-02-19,fao_swarm
18,36.8666666670001,0.483333333000076,1,1,2020-02-18,2020-02-19,fao_swarm
19,36.766666667,1.11666666700006,1,1,2020-02-18,2020-02-20,fao_swarm
20,36.8666666670001,2.25,1,1,2020-02-18,2020-02-20,fao_swarm
21,37.8666666670001,0.233333333000076,1,1,2020-02-18,2020-02-20,fao_swarm
22,36.6333333330001,0.183333333000064,1,1,2020-02-18,2020-02-20,fao_swarm
23,37.75,0.25,1,1,2020-02-18,2020-02-20,fao_swarm
24,36.6833333330001,2.68333333300006,1,1,2020-02-18,2020-02-24,fao_swarm
25,37.199722222,5.5425,1,1,2020-02-18,2020-02-22,fao_swarm
26,37.3586111110001,4.96444444400004,1,1,2020-02-18,2020-02-22,fao_swarm
27,37.4272222220001,5.02888888900003,1,1,2020-02-18,2020-02-22,fao_swarm
28,38.142777778,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_swarm
29,37.3572222220001,4.97638888900002,1,1,2020-02-18,2020-02-22,fao_swarm
30,37.45,5.01388888900004,1,1,2020-02-18,2020-02-22,fao_swarm
31,38.0591666670001,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_swarm
32,37.6636111110001,5.11472222200007,1,1,2020-02-18,2020-02-21,fao_swarm
33,38.9283333330001,4.13777777800004,1,1,2020-02-18,2020-02-24,fao_swarm
